Book-name	Author	Publisher	Publish-time	ISBN	img-src	book-introduction	author-introduction	Score	commments	5-stars	4-stars	3-stars	2-stars	1-stars
大地之灯	七堇年	长江文艺出版社	2007-1	9787535432896	https://img3.doubanio.com/view/subject/l/public/s1994710.jpg	雪域高原深处长大的孤儿卡桑，父母在一次朝圣的途中双双遇难；出生在北大荒的孩子简生，父母是北大荒的插队知青，在他出生之后先后被急于返城的父母遗弃，一直到十岁，才被母亲接回大城市。十九岁时简生的母亲因为受贿案件而自杀。简生将卡桑带回城市，由于父母缺席的家庭抚养，两人在整个成长过程中充满了欠缺。在成年之后的岁月依旧伴随着内心阴影，一直都艰苦地进行自我扶正与探索。最终他们用回报或者付出的方式，获得了各自的终极救赎和解脱。	NULL	8.2 	35916	35.2%	40.3%	21.4%	2.6%	0.6%
熊镇2	(瑞典)弗雷德里克·巴克曼	四川文艺出版社	2019-6	9787541153426	https://img1.doubanio.com/view/subject/l/public/s32322877.jpg	NULL	NULL	8.6 	703	50.6%	38.5%	9.5%	1.1%	0.1%
维罗妮卡决定去死	[巴西]保罗·柯艾略	南海出版公司	2010-8	9787544247245	https://img3.doubanio.com/view/subject/l/public/s4418702.jpg	二十四岁的维罗妮卡厌倦了死水般的日子，决定服药自杀。 醒来时，她却发现自己躺在一家精神病院，四肢捆绑、一丝不挂，并且患上严重的心脏病，只剩下最后一周时光。 在与疯人们的相处中，她出乎意料地体验到人生的欢愉和真实的自我，深深爱上梦想成为画家的英俊男子爱德华。生活的热望前所未有地燃烧起来…… 可是，已到尽头的生命如何挽回?	保罗·柯艾略，1947出生于巴西里约热内卢。少年时代，因叛逆，被视为精神疾病受到三次电击治疗；青年时代，因反对政治独裁，被投进监狱；1986年，38岁的他踏上去往圣城圣地亚哥之路，心灵顿悟。	8.2 	9482	31.8%	47.9%	18.1%	1.9%	0.3%
三生三世 十里桃花	唐七公子	沈阳出版社	2009-1	9787544138000	https://img1.doubanio.com/view/subject/l/public/s3551687.jpg	前世今生系列之一。	唐七公子：中学时看王尔德的书，里边有句话一直记着。他说，一个人想恢复青春，只消重演过去干的蠢事就够了。倒并不是觉得他说得好，不知道怎么就记到现在了。如今，我每天都在干蠢事，一边青春着，一边觉得继续这么青春下去实在不妙。	7.9 	76062	33.7%	30.4%	17.5%	3.8%	14.6%
黄金时代	王小波	陕西师范大学出版社	2009-07-01	9787561327470	https://img1.doubanio.com/view/subject/l/public/s4083149.jpg	这是以文革时期为背景的系列作品构成的长篇。发生“文化大革命”的二十世纪六七十年代，正是我们国家和民族的灾难年代。那时，知识分子群体无能为力而极“左”政治泛滥横行。作为倍受歧视的知识分子，往往丧失了自我意志和个人尊严。在这组系列作品里面，名叫“王二”的男主人公处于恐怖和荒谬的环境，遭到各种不公正待遇，但他却摆脱了传统文化人的悲愤心态，创造出一种反抗和超越的方式：既然不能证明自己无辜，便倾向于证明自己不无辜。于是他以性爱作为对抗外部世界的最后据点，将性爱表现得既放浪形骸又纯净无邪，不但不觉羞耻，还轰轰烈烈地进行到底，对陈规陋习和政治偏见展开了极其尖锐而又饱含幽默的挑战。一次次被斗、挨整，他都处之坦然，乐观为本，获得了价值境界上的全线胜利。作者用一种机智的光辉烛照当年那种无处不在的压抑，使人的精神世界从悲惨暗淡的历史阴影中超拔出来。	NULL	8.9 	37171	52.9%	37.1%	9.1%	0.7%	0.2%
莫失莫忘	[英]石黑一雄	上海译文出版社	2018-6	9787532777938	https://img3.doubanio.com/view/subject/l/public/s29778380.jpg	★ 2017诺奖得主石黑一雄迄今为止最感人的作品	NULL	8.7 	1561	49.2%	40.5%	8.8%	1.2%	0.3%
食罪者4	宇尘	天津人民出版社	2019-9	9787201151700	https://img3.doubanio.com/view/subject/l/public/s33456131.jpg	丁潜给自己放个小长假，来到了蒋雨馨所在的城市。蒋雨馨开始了新生活，她进入娱乐圈做起了演员，投身于沈强的影视公司。	宇尘，创新式悬疑作家，文章风格节奏明快，布局诡异，擅于营造悬念。作品具有浓郁的写实风格和传奇色彩。著有长篇法医小说《解剖师》，2018年出版并更名为系列小说《重返现场·救赎者》《重返现场·生存游戏》《重返现场·但丁与佐川》《重返现场·弗洛伊德的恐惧》。	8.6 	185	55.7%	37.3%	5.4%	1.6%	0.0%
黑暗中飘香的谎言	[日]下村敦史	湖南文艺出版社	2019-9	9787540492892	https://img3.doubanio.com/view/subject/l/public/s33456284.jpg	四十年未曾谋面的哥哥、刻意隐瞒真相的母亲、关系疏离的亲生女儿、藏在家中的陌生人。是谁企图将他推到疾驶中的汽车前？又是谁在风雪萧萧的土地上伸出了援助之手？	下村敦史	8.7 	175	46.3%	46.9%	6.3%	0.0%	0.6%
悲剧人偶	[日]东野圭吾	北京十月文艺出版社	2018-8-1	9787530218198	https://img1.doubanio.com/view/subject/l/public/s30014627.jpg	《悲剧人偶》是日本作家东野圭吾的长篇小说，中文简体首次出版，讲述了一个精妙的诡计，一个纯粹的烧脑解谜：在这个家里，命案接连发生。所有人的不在场证明都如蛛网般整齐严密，只有不会说话的人偶看到了真相。	东野圭吾	7.1 	3373	17.8%	42.9%	35.4%	3.7%	0.3%
洗澡	杨绛	人民文学出版社	2004-1	9787020090501	https://img1.doubanio.com/view/subject/l/public/s26585017.jpg	《洗澡》是新中国第一部反映知识分子思想改造的长篇小说，它借一个政治运动作背景，描写那个时期形形色色的知识分子：他们的确需要改造，然而，改造的效果又如何呢？小说被称为中国现代文学中的新儒林外史。	NULL	8.4 	3468	37.4%	47.1%	14.3%	1.0%	0.2%
城堡	[奥地利]弗朗茨·卡夫卡	上海译文出版社	2007-3	9787532741809	https://img3.doubanio.com/view/subject/l/public/s2351561.jpg	土地测量员K受命赴某城上任，不料却受阻于城堡大门外，于是主人公K同城堡当局围绕能否进入城堡之事展开了持久烦琐的拉锯战。城堡就位于眼前一座小山上，可它可望而不可即；它是那样冷漠、威严，像一头巨兽俯视着K；它代表了一个庞大的官僚机构，那儿等级森严，有数不尽的部门和数不尽的官吏，可又有数不尽的文书尘封在那里，长年累月无人过目，得不到处理。面对这座强大的城堡，K很无奈，直到最后也没有进入城堡，也没见到城堡当权者。	卡夫卡（1883-1924），奥地利小说家，生前鲜为人知，其作品也未受到重视，身后却文名鹊起，蜚声世界文坛。他被称为“作家中之作家”。《城堡》是其最具特色、最重要的长篇小说。	8.4 	8408	40.0%	43.2%	15.1%	1.2%	0.4%
源氏物语	[日]紫式部	人民文学出版社	2015-8	9787020107407	https://img3.doubanio.com/view/subject/l/public/s28280241.jpg	《源氏物语》以日本平安王朝全盛时期为背景，通过主人公源氏的生活经历和爱情故事，描写了当时社会的腐败政治、淫乱生活、上层贵族之间的互相倾轧和权力斗争，而源氏的爱情婚姻，则揭示了一夫多妻制下妇女的悲惨命运。在贵族社会里，男婚女嫁往往是政治斗争的手段，妇女成了政治交易的工具和贵族男人手中的玩物。全书共五十四回，近百万字。故事涉及四代天皇，历经70余年，所涉人物四百多位。全书以源氏家族为中心，上半部写了源氏公子与众妃、侍女的种种或凄婉或美好的爱情生活；后半部以源氏公子之子熏君为主人公，铺陈了复杂纷繁的男女爱情纠葛事件。	NULL	8.1 	1145	38.0%	40.9%	17.9%	2.9%	0.3%
如果蜗牛有爱情	丁墨	百花洲文艺出版社	2014-4	9787550007420	https://img1.doubanio.com/view/subject/l/public/s27241737.jpg	NULL	丁墨:	7.0 	8636	17.7%	38.8%	36.2%	5.8%	1.4%
盗墓笔记2	南派三叔	中国友谊出版公司	2007-4	9787505723306	https://img9.doubanio.com/view/subject/l/public/s2376476.jpg	朋友老痒出狱，给刚从西礁海底墓归来、在家赋闲没有几日的主人公——“我”带来一个惊人的消息：诡异的六角铃铛，古老的厍族，巨大的青铜树，遥远的秦岭腹地……“我”不由得跃跃欲试。	南派三叔（1982年2月20日— ），本名徐磊，男，浙江人，现居杭州。超级畅销书作家。他的《盗墓笔记》系列与另一位作家的《鬼吹灯》系列共同开启了中国小说界的“盗墓时代”。	8.2 	40306	36.6%	43.9%	17.5%	1.6%	0.4%
童年	[苏联]马克西姆·高尔基	人民文学出版社	2002-01	9787020031924	https://img1.doubanio.com/view/subject/l/public/s2263997.jpg	《童年》是高尔基自传体三部曲中的第一部，内容包括了高尔基幼年时期从三岁至十岁这一段时间的生活断面。阿寥沙·彼什科夫三岁丧父后，由母亲和外祖母带到外祖父家。外祖父卡什林是一个小染坊主，已濒临破产。他性情暴躁、乖戾、贪婪、自私；两个舅舅米哈伊尔和雅科夫也是粗野、自私的市侩，甚至第三代也受到很坏的影响。外祖父家里，弥漫着人与人之间的炽热的仇恨之雾；大人都中了仇恨的毒，连小孩也热烈地参加一份。这是一个典型	玛克西姆·高尔基，他是苏联著名的作家、诗人，评论家，政论家，学者，11岁时当过学徒。他是前苏联下诺夫哥罗德人，俄罗斯族。1868年3月16日生于下诺夫哥罗德的一个木工家庭。是社会主义现实主义文学奠基人，无产阶级艺术最伟大的代表者、无产阶级革命文学导师、苏联文学的创始人之一，政治生活1892年用笔名“玛克西姆·高尔基”发表处女作短篇小说《马卡尔·楚德拉》，从此专心从事写作。1936年6月18日在莫斯科逝世。世人遗憾，悲伤。	7.7 	13479	22.8%	47.3%	27.5%	1.9%	0.5%
橘子不是唯一的水果	[英]珍妮特·温特森	北京联合出版公司	2018-3	9787559614711	https://img9.doubanio.com/view/subject/l/public/s29682706.jpg	NULL	珍妮特?温特森（Jeanette Winterson）	7.5 	2829	18.8%	42.0%	33.3%	5.1%	0.8%
摆渡人3无境之爱	克莱儿·麦克福尔	百花洲文艺出版社	2019-4-1	9787550032125	https://img3.doubanio.com/view/subject/l/public/s32278112.jpg	千万畅销心灵治愈小说“摆渡人”系列完结篇	克莱儿·麦克福尔	6.3 	1060	29.2%	30.8%	26.7%	7.5%	5.7%
海边的卡夫卡	[日]村上春树	上海译文出版社	2007-7	9787532743001	https://img1.doubanio.com/view/subject/l/public/s2897068.jpg	NULL	村上春树（1949- ），日本小说家。曾在早稻田大学文学部戏剧科就读。1979年，他的第一部小说《听风之歌》问世后，即被搬上了银幕。随后，他的优秀作品《1973年的弹子球》、《寻羊冒险记》、《挪威的森林》等相继发表。他的创作不受传统拘束，构思新奇，行文潇洒自在，而又不流于庸俗浅薄。尤其是在刻画人的孤独无奈方面更有特色，他没有把这种情绪写成负的东西，而是通过内心的心智性操作使之升华为一种优雅的格调，一种乐在其中的境界，以此来为读者，尤其是生活在城市里的人们提供了一种生活模式或生命的体验。	8.5 	26809	40.5%	43.9%	14.1%	1.3%	0.3%
银河系搭车客指南	[英]道格拉斯·亚当斯	上海译文出版社	2011-7	9787532754687	https://img1.doubanio.com/view/subject/l/public/s6384969.jpg	突如其来的寂静笼罩了地球。这事实上比噪音更加可怕。有一会儿，什么也没有发生。	NULL	8.7 	12488	50.3%	35.7%	11.9%	1.7%	0.3%
无证之罪	紫金陈	湖南人民出版社	2018-6	9787543898752	https://img1.doubanio.com/view/subject/l/public/s29791969.jpg	NULL	NULL	7.3 	8889	18.2%	43.6%	32.6%	4.5%	1.1%
小妇人	（美）路易莎?梅?奥尔科特	译林出版社	2004-01	9787805676258	https://img9.doubanio.com/view/subject/l/public/s33485706.jpg	NULL	"奥尔科特(Alcott, Louisa May)"	8.4 	13570	38.3%	44.0%	16.6%	1.0%	0.2%
海伯利安	(美)丹·西蒙斯	吉林出版集团有限责任公司	2014-11	9787553452937	https://img3.doubanio.com/view/subject/l/public/s27537735.jpg	《海伯利安》于1989年首次出版，横扫全球所有重量级奖项——雨果奖、轨迹奖、西班牙科幻小说首奖、日本星云奖、日本雨果奖、法国宇宙奖，并入围亚瑟?克拉克奖、英伦科幻奖、科幻纪事奖，被轨迹杂志票选为1990年前史上十大科幻小说，1997年和2006年两次入选“最推荐100部科幻奇幻作品榜”。	NULL	9.2 	4586	68.2%	24.4%	5.9%	1.1%	0.4%
检察方的罪人	[日]雫井脩介	四川文艺出版社	2019-7	9787541153952	https://img3.doubanio.com/view/subject/l/public/s32375944.jpg	法律等于正义吗？	NULL	7.9 	431	29.2%	49.0%	19.0%	2.6%	0.2%
残次品	priest	NULL	2017	9787548420569	https://img9.doubanio.com/view/subject/l/public/s29687206.jpg	这是最好的时代，也是最坏的时代。”——狄更斯《双城记》	priest，晋江文学城大神级耽美作者之一，文风精练大气，幽默风趣。被粉丝称为“皮皮”、“PP”、“小甜甜”、“女神”。出版作品笔名为牧牧。	8.8 	2159	62.2%	27.4%	8.8%	1.0%	0.5%
喧哗与骚动	[美]威廉·福克纳	上海译文出版社	2004-08	9787532732944	https://img3.doubanio.com/view/subject/l/public/s4103521.jpg	《喧哗与骚动》是福克纳第一部成熟的作品，也是作家花费心血最多、本人最喜欢的小说。小说讲述的是南方没落地主康普生一家的家族悲剧。老康普生游手好闲、嗜酒贪杯，其妻自私冷酷、怨天尤人。长子昆丁绝望地抱住南方所谓的旧传统不放，因妹妹凯蒂风流成性、有辱南方淑女身份而恨疚交加，竟至溺水自杀。次子杰生冷酷贪婪，三子班吉则是个白痴，三十三岁时只有三岁小儿的智能。本书通过这三个儿子的内心独白，围绕凯蒂的堕落展开，最后则由黑人女佣迪尔西对前三部分的“有限视角”作一补充，归结全书。小说大量运用多视角叙述方法及意识流手法，是意识流小说乃至整个现代派小说的经典名著。	NULL	8.8 	4582	53.7%	35.3%	9.5%	1.0%	0.5%
