Book-name	Author	Publisher	Publish-time	ISBN	img-src	book-introduction	author-introduction	Score	commments	5-stars	4-stars	3-stars	2-stars	1-stars
C陷阱与缺陷	凯尼格	人民邮电出版社	2008-2-1	9787115171795	https://img3.doubanio.com/view/subject/l/public/s2870233.jpg	作者以自己1985年在Bell实验室时发表的一篇论文为基础，结合自己的工作经验扩展成为这本对C程序员具有珍贵价值的经典著作。写作本书的出发点不是要批判C语言，而是要帮助C程序员绕过编程过程中的陷阱和障碍。..	Andrew Koenig 是AT&T公司Shannon实验室大规模编程研究部门中的成员，同时也是C++标准委员会的项目编辑。他的编程经验超过30年，其中有15年在使用C++，他已经出版了超过150 篇和C++有关的论文，并且在世界范围内就这个主题进行过多次演讲。	8.9 	1319	52.2%	39.0%	7.6%	1.1%	0.1%
重构（第2版）	MartinFowler	人民邮电出版社	2019-5	9787115508652	https://img1.doubanio.com/view/subject/l/public/s32284818.jpg	NULL	作者简介	9.3 	11	72.7%	18.2%	9.1%	0.0%	0.0%
算法神探	[美]杰瑞米·库比卡	电子工业出版社	2017-2	9787121307645	https://img3.doubanio.com/view/subject/l/public/s29418944.jpg	《算法神探：一部谷歌首席工程师写的CS小说》围绕程序设计典型算法，精心编织了一个扣人心弦又趣味横生的侦探缉凶故事。小说主人公运用高超的搜索技巧和精深的算法知识，最终识破阴谋、缉拿元凶。其间，用二分搜索搜查走私船、用搜索树跟踪间谍、用深度优先搜索逃离监狱、用优先队列开锁及用最佳优先搜索追寻线索等跌宕起伏又富含算法精要的情节，让读者在愉悦的沉浸式体验中快速提升境界，加深对程序世界的理解。《算法神探：一部谷歌首席工程师写的CS小说》适合开发人员、编程爱好者和相关专业学生阅读，也是少儿计算机科学启蒙的绝佳读物。	NULL	6.5 	157	7.6%	23.6%	55.4%	10.8%	2.5%
编译原理	AlfredV.Aho	机械工业出版社	2011-1	9787111326748	https://img1.doubanio.com/view/subject/l/public/s4577947.jpg	本书是编译领域无可替代的经典著作，被广大计算机专业人士誉为“龙书”。本书上一版自1986年出版以来，被世界各地的著名高等院校和研究机构（包括美国哥伦比亚大学、斯坦福大学、哈佛大学、普林斯顿大学、贝尔实验室）作为本科生和研究生的编译原理课程的教材。该书对我国高等计算机教育领域也产生了重大影响。　　第2版对每一章都进行了全面的修订，以反映自上一版出版20多年来软件工程。程序设计语言和计算机体系结构方面的发展对编译技术的影响。本书全面介绍了编译器的设计，并强调编译技术在软件设计和开发中的广泛应用。每章中都包含大量的习题和丰富的参考文献。　　本书适合作为高等院校计算机专业本科生和研究生的编译原理与技术课程的教材，也可供广大计算机技术人员参考。	NULL	9.2 	52	57.7%	32.7%	7.7%	1.9%	0.0%
Python数据结构与算法分析（第2版）	[美]布拉德利·米勒	人民邮电出版社	2019-9-20	9787115517210	https://img3.doubanio.com/view/subject/l/public/s33450653.jpg	了解数据结构与算法是透彻理解计算机科学的前提。随着Python日益广泛的应用，Python程序员需要实现与传统的面向对象编程语言相似的数据结构与算法。本书是用Python描述数据结构与算法的开山之作，汇聚了作者多年的实战经验，向读者透彻讲解在Python环境下，如何通过一系列存储机制高效地实现各类算法。通过本书，读者将深刻理解Python数据结构、递归、搜索、排序、树与图的应用，等等。	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Python语言及其应用	[美]BillLubanovic	人民邮电出版社	2016-1	9787115407092	https://img9.doubanio.com/view/subject/l/public/s28352586.jpg	本书介绍Python 语言的基础知识及其在各个领域的具体应用，基于最新版本3.x。书中首先介绍了Python 语言的一些必备基本知识，然后介绍了在商业、科研以及艺术领域使用Python 开发各种应用的实例。文字简洁明了，案例丰富实用，是一本难得的Python 入门手册。	Bill Lubanovic	8.4 	194	39.7%	46.9%	12.4%	0.5%	0.5%
图解密码技术	[日]结城浩	人民邮电出版社	2014-12	9787115373625	https://img3.doubanio.com/view/subject/l/public/s27844440.jpg	本书以图配文的形式，详细讲解了6种最重要的密码技术：对称密码、公钥密码、单向散列函数、消息认证码、数字签名和伪随机数生成器。	结城浩（Hiroshi Yuki）	9.1 	310	65.8%	29.4%	4.5%	0.3%	0.0%
程序设计实践	[美]BrianW.Kernighan	机械工业出版社	2000-8	9787111075738	https://img3.doubanio.com/view/subject/l/public/s24431930.jpg	这本书从排错、测试、性能、可移植性、设计、界面、风格和记法等方面，讨论了程序设计中实际的、又是非常深刻和具有广泛意义的思想、技术和方法。	Brian W.Kernighan和Rob Pike在朗讯科技贝尔实验室的计算机科学研究中心工作。Brian Kernighan是Addison-Wesley的“专业计算丛书”顾问编辑，也是《C程序设计语言》的合著者之一（与Dennis M.Ritchie合作）。Rob Pike是Plan 9和Inferno操作系统的主要结构设计与实现者，他的主要研究兴趣是如何帮助人们更容易地开发软件。	9.1 	474	62.0%	30.4%	6.8%	0.4%	0.4%
Algorithms	RobertSedgewick	Addison-Wesley Professional	2011-3-19	9780321573513	https://img3.doubanio.com/view/subject/l/public/s4656875.jpg	NULL	Robert Sedgewick  斯坦福大学博士，导师为Donald E. Knuth，从1985年开始一直担任普林斯顿大学计算机科学系教授，曾任该系主任，也是Adobe Systems公司董事会成员，曾在Xerox PARC、国防分析研究所（Institute for Defense Analyses）和法国国家信息与自动化研究所（INRIA）从事研究工作。他的研究方向包括解析组合学、数据结构和算法的分析与设计、程序可视化等。	9.3 	240	71.7%	22.9%	5.4%	0.0%	0.0%
More Effective C++（中文版）	梅耶(ScottMeyers)	电子工业出版社	2011-1-1	9787121125706	https://img1.doubanio.com/view/subject/l/public/s28272918.jpg	NULL	Scott Meyers，世界顶级的C++软件开发技术权威之一。他是两本畅销书Effective C++和More Effective C++的作者，以前曾经是C++ Report的专栏作家。他经常为C/C++ Users Journal和Dr. Dobb's Journal撰稿，也为全球范围内的客户做咨询活动。他也是Advisory Boards for NumeriX LLC和InfoCruiser公司的成员。他拥有Brown University的计算机科学博士学位。	9.2 	280	68.2%	28.2%	3.6%	0.0%	0.0%
