电影详情链接	图片链接	影片中文名	影片外文名	评分	评价数	概况	相关信息
https://movie.douban.com/subject/21937452/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg	素媛	??	9.3	526710	受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦	导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol严志媛Ji-wonUhm...2013韩国剧情
https://movie.douban.com/subject/1929463/	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg	少年派的奇幻漂流	LifeofPi	9.1	1125571	瑰丽壮观、无人能及的冒险之旅	导演:李安AngLee主演:苏拉·沙玛SurajSharma伊尔凡·可汗Irrfan...2012美国中国台湾英国加拿大剧情奇幻冒险
https://movie.douban.com/subject/1293182/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg	十二怒汉	12AngryMen	9.4	369934	1957年的理想主义	导演:SidneyLumet主演:亨利·方达HenryFonda马丁·鲍尔萨姆Marti...1957美国剧情
https://movie.douban.com/subject/1308807/	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg	哈尔的移动城堡	ハウルの動く城	9.1	795942	带着心爱的人在天空飞翔	导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaish?木村拓...2004日本动画奇幻冒险
https://movie.douban.com/subject/1291858/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg	鬼子来了	  	9.3	494874	对敌人的仁慈，就是对自己残忍	导演:姜文WenJiang主演:姜文WenJiang香川照之TeruyukiKagawa...2000中国大陆剧情喜剧
https://movie.douban.com/subject/1291583/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg	天空之城	天空の城ラピュタ	9.1	674112	对天空的追逐，永不停止	导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka横泽启子Ke...1986日本动画奇幻冒险
https://movie.douban.com/subject/1299398/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg	大话西游之月光宝盒	西遊記第壹佰零壹回之月光寶盒	9.0	983119	旷古烁今	导演:刘镇伟JeffreyLau主演:周星驰StephenChow吴孟达ManTatNg...1995中国香港中国大陆喜剧爱情奇幻古装
https://movie.douban.com/subject/26752088/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg	我不是药神	  	9.0	1686262	对我们国家而言，这样的电影多一部是一部	导演:文牧野MuyeWen主演:徐峥ZhengXu王传君ChuanjunWang周...2018中国大陆剧情喜剧
https://movie.douban.com/subject/1293839/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg	罗马假日	RomanHoliday	9.0	781222	爱情哪怕只有一天	导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn格...1953美国喜剧剧情爱情
https://movie.douban.com/subject/1298624/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg	闻香识女人	ScentofaWoman	9.1	683955	史上最美的探戈	导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino克里斯...1992美国剧情
https://movie.douban.com/subject/21937445/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg	辩护人	???	9.2	488882	电影的现实意义大过电影本身	导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong金英爱Yeong-ae...2013韩国剧情
https://movie.douban.com/subject/1291828/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg	天堂电影院	NuovoCinemaParadiso	9.2	513743	那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰	导演:朱塞佩·托纳多雷GiuseppeTornatore主演:菲利普·努瓦雷Philipp...1988意大利法国剧情爱情
https://movie.douban.com/subject/1305487/	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg	猫鼠游戏	CatchMeIfYouCan	9.0	702131	骗子大师和执著警探的你追我跑故事	导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...2002美国加拿大传记犯罪剧情
https://movie.douban.com/subject/1418019/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg	大闹天宫	  	9.4	328188	经典之作，历久弥新	导演:万籁鸣LaimingWan唐澄ChengTang主演:邱岳峰YuefengQiu...1961(中国大陆)1964(中国大陆)1978(中国大陆)2004(中国大陆)中国大陆动画奇幻
https://movie.douban.com/subject/1292000/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg	搏击俱乐部	FightClub	9.0	689632	邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙	导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton布拉...1999美国德国意大利剧情动作悬疑惊悚
https://movie.douban.com/subject/1299131/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg	教父2	TheGodfather:PartⅡ	9.2	421346	优雅的孤独	导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...1974美国剧情犯罪
https://movie.douban.com/subject/1301753/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg	狮子王	TheLionKing	9.0	659922	动物版《哈姆雷特》	导演:RogerAllers罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...1994美国动画冒险歌舞
https://movie.douban.com/subject/1296736/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg	钢琴家	ThePianist	9.2	438524	音乐能化解仇恨	导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...2002英国法国波兰德国美国剧情传记战争音乐
